Date,Return
03/23/2010,-1.525
03/22/2010,-0.446
03/19/2010,-1.13
03/18/2010,0.149
03/17/2010,0.064
03/16/2010,0.359
03/15/2010,-2.823
03/12/2010,-0.275
03/11/2010,0.814
03/10/2010,2.903
03/09/2010,-0.407
03/08/2010,-0.307
03/05/2010,1.735
03/04/2010,1.7
03/03/2010,0.787
03/02/2010,1.571
03/01/2010,1.118
02/26/2010,0.07
02/25/2010,-0.948
02/24/2010,-0.673
02/23/2010,-1.424
02/22/2010,0.377
02/19/2010,-0.453
02/18/2010,0.931
02/17/2010,-0.571
02/16/2010,1.534
02/12/2010,-0.611
02/11/2010,0.365
02/10/2010,-0.371
02/09/2010,0.557
02/08/2010,0.41
02/05/2010,0.856
02/04/2010,-2.596
02/03/2010,1.826
02/02/2010,-0.356
02/01/2010,0.581
01/29/2010,-0.814
01/28/2010,-1.441
01/27/2010,-0.059
01/26/2010,0.448
01/25/2010,-1.82
01/22/2010,-5.655
01/21/2010,0.443
01/20/2010,-1.227
01/19/2010,1.314
01/15/2010,-1.67
01/14/2010,0.47
01/13/2010,-0.574
01/12/2010,-1.768
01/11/2010,-0.151
01/08/2010,1.333
01/07/2010,-2.328
01/06/2010,-2.521
01/05/2010,-0.44
01/04/2010,1.092
12/31/2009,-0.442
12/30/2009,0.538
12/29/2009,-0.557
12/28/2009,0.71
12/24/2009,1.112
12/23/2009,1.757
12/22/2009,0.408
12/21/2009,0.379
12/18/2009,0.418
12/17/2009,-0.639
12/16/2009,0.779
12/15/2009,-0.435
12/14/2009,0.884
12/11/2009,-0.167
12/10/2009,0.421
12/09/2009,0.336
12/08/2009,0.136
12/07/2009,0.212
12/04/2009,-0.125
12/03/2009,-0.301
12/02/2009,-0.4
12/01/2009,1.178
11/30/2009,0.559
11/27/2009,-1.021
11/25/2009,0.454
11/24/2009,0.127
11/23/2009,2.174
11/20/2009,-0.529
11/19/2009,-0.635
11/18/2009,-0.145
11/17/2009,0.21
11/16/2009,0.739
11/13/2009,0.74
11/12/2009,-0.475
11/11/2009,0.67
11/10/2009,0.756
11/09/2009,2.07
11/06/2009,0.447
11/05/2009,1.54
11/04/2009,0.566
11/03/2009,0.618
11/02/2009,-0.397
10/30/2009,-2.709
10/29/2009,1.99
10/28/2009,-1.457
10/27/2009,-1.068
10/26/2009,0.094
10/23/2009,-0.072
10/22/2009,0.543
10/21/2009,-0.112
10/20/2009,-0.067
10/19/2009,0.407
10/16/2009,3.763
10/15/2009,-1.011
10/14/2009,1.751
10/13/2009,0.395
10/12/2009,1.509
10/09/2009,0.403
10/08/2009,-0.649
10/07/2009,3.769
10/06/2009,2.092
10/05/2009,0.813
10/02/2009,-0.538
10/01/2009,-1.744
09/30/2009,-0.538
09/29/2009,0.0
09/28/2009,1.228
09/25/2009,-0.864
09/24/2009,-0.339
09/23/2009,-0.12
09/22/2009,0.414
09/21/2009,1.127
09/18/2009,-0.053
09/17/2009,0.702
09/16/2009,2.251
09/15/2009,0.509
09/14/2009,0.631
09/11/2009,0.255
09/10/2009,1.502
09/09/2009,1.167
09/08/2009,-0.581
09/04/2009,0.826
09/03/2009,0.996
09/02/2009,-0.603
09/01/2009,-1.28
08/31/2009,-0.663
08/28/2009,-0.281
08/27/2009,-0.415
08/26/2009,-0.715
08/25/2009,0.563
08/24/2009,0.75
08/21/2009,1.049
08/20/2009,3.703
08/19/2009,-0.294
08/18/2009,0.088
08/17/2009,-3.285
08/14/2009,-0.493
08/13/2009,0.807
08/12/2009,1.022
08/11/2009,-0.585
08/10/2009,-0.107
08/07/2009,1.497
08/06/2009,-0.173
08/05/2009,-0.571
08/04/2009,0.336
08/03/2009,2.067
07/31/2009,-0.581
07/30/2009,2.155
07/29/2009,-0.821
07/28/2009,-1.113
07/27/2009,-0.43
07/24/2009,2.145
07/23/2009,2.256
07/22/2009,-0.049
07/21/2009,-0.528
07/20/2009,-0.019
07/17/2009,-2.79
07/16/2009,1.011
07/15/2009,3.174
07/14/2009,0.092
07/13/2009,2.389
07/10/2009,0.977
07/09/2009,1.963
07/08/2009,1.477
07/07/2009,-3.169
07/06/2009,0.274
07/02/2009,-2.506
07/01/2009,-0.617
06/30/2009,-0.601
06/29/2009,-0.277
06/26/2009,2.297
06/25/2009,1.583
06/24/2009,0.89
06/23/2009,-0.41
06/22/2009,-3.033
06/19/2009,1.456
06/18/2009,-0.265
06/17/2009,-0.202
06/16/2009,-0.185
06/15/2009,-1.9
06/12/2009,-0.97
06/11/2009,-0.832
06/10/2009,-0.693
06/09/2009,-0.718
06/08/2009,-1.249
06/05/2009,0.918
06/04/2009,1.999
06/03/2009,0.759
06/02/2009,0.431
06/01/2009,2.236
05/29/2009,1.664
05/28/2009,1.193
05/27/2009,0.297
05/26/2009,2.76
05/22/2009,-0.757
05/21/2009,-0.171
05/20/2009,-0.426
05/19/2009,0.514
05/18/2009,1.754
05/15/2009,0.645
05/14/2009,-0.524
05/13/2009,-2.373
05/12/2009,-2.199
05/11/2009,0.16
05/08/2009,2.703
05/07/2009,-1.7
05/06/2009,0.119
05/05/2009,0.251
05/04/2009,2.106
05/01/2009,-0.576
04/30/2009,1.15
04/29/2009,2.022
04/28/2009,-0.58
04/27/2009,-0.909
04/24/2009,1.248
04/23/2009,0.216
04/22/2009,0.627
04/21/2009,0.572
04/20/2009,-3.299
04/17/2009,0.9
04/16/2009,2.435
04/15/2009,2.871
04/14/2009,-2.433
04/13/2009,1.506
04/09/2009,2.901
04/08/2009,0.934
04/07/2009,-2.604
04/06/2009,-0.416
04/03/2009,2.008
04/02/2009,2.375
04/01/2009,1.732
03/31/2009,1.567
03/30/2009,-1.441
03/27/2009,-1.582
03/26/2009,2.68
